KNB,Product P,32 / B / FtO,C5-B40-3CE-CB1-9-672218E,30277881,9533448,12837914491890,05/11/2018,0,74.2,-70.49,-3.71,0.0,0.0,0.0,-1,1
WHX,Product A,34 / A / 30,5D-D14-3C4-EA7-4-CA578FA,56217729,4203330,28287740544599,18/01/2019,1,107.5,-64.5,0.0,43.0,8.6,51.6,0,1
WHX,Product A,35 / B / FtO,96-7E8-3B3-249-2-227B1EC,21067873,4737903,72557689945860,19/11/2018,1,107.5,-64.5,0.0,43.0,8.6,51.6,0,1
QMB,Product J,36 / B / FtO,A0-FCB-B01-4B2-9-BA48BD5,72085551,5934972,33635422725281,14/12/2018,1,99.18,-59.51,0.0,39.67,7.93,47.6,0,1
EXR,Product J,32 / A / FtO,4A-FF1-87C-28D-3-2E5048E,89495938,2680640,40568652368925,20/02/2019,1,99.18,-59.51,0.0,39.67,7.93,47.6,0,1
YQX,Product N,S / St / Re,C6-8C7-F21-02D-9-2192018,38761153,3619130,88025805105285,13/11/2018,0,59.0,-59.0,0.0,0.0,0.0,0.0,-1,1
YQX,Product E,35 / A / FtO,32-4A5-1DB-974-8-434C5E6,38274452,4489293,92936105578848,16/11/2018,1,99.16,-49.58,0.0,49.58,9.92,59.5,0,1
QMB,Product J,35 / A / FtO,E5-EF0-2CB-4F6-A-7B6A300,72085551,4489293,15821639715050,14/12/2018,1,99.16,-49.58,0.0,49.58,9.92,59.5,0,1
QMB,Product J,38 / B / FtO,37-63F-72C-A64-1-001378F,72085551,4489293,28579419171434,14/12/2018,1,99.16,-49.58,0.0,49.58,9.92,59.5,0,1
YMR,Product W,32 / A / FtO,DF-36E-A20-C9A-3-A676544,44945143,4185592,65797961161095,02/11/2018,2,165.0,-49.5,0.0,115.5,23.1,138.6,0,2
OUT,Product W,35 / B / FtO,8E-15F-A45-3D9-B-C11996B,87226152,7952887,11277789070942,14/11/2018,1,82.5,-49.5,0.0,33.0,6.6,39.6,0,1
WHX,Product P,35 / A / FtO,B3-23B-1A3-62D-A-287B1D1,99622642,5325226,82977246224383,15/01/2019,1,79.18,-47.52,0.0,31.66,6.33,37.99,0,1
XEB,Product P,31 / A / FtO,AA-BDF-076-A77-3-AB997BE,86889819,7952887,15499573700961,21/02/2019,1,79.18,-47.51,0.0,31.67,6.33,38.0,0,1
XEB,Product P,37 / B / FtO,11-B5D-E69-22E-E-204C834,74841968,1131830,35516948732356,26/11/2018,3,237.5,-47.5,0.0,190.0,38.0,228.0,0,3
WHX,Product P,37 / B / FtO,8C-D36-B63-B76-1-0EFA567,14526828,1131830,35516948732356,26/11/2018,3,237.5,-47.5,0.0,190.0,38.0,228.0,0,3
AYN,Product P,40 / C / 32,54-68D-600-577-7-E3ACD58,73763955,7952887,36158853569313,25/04/2019,1,79.17,-47.5,0.0,31.67,6.33,38.0,0,1
RJF,Product P,34 / A / FtO,17-8DA-48B-4F1-0-CBA2010,21142089,4289702,56881192485243,29/04/2019,1,79.17,-47.5,0.0,31.67,6.33,38.0,0,1
TSH,Product D,34 / A / FtO,95-0FF-23F-550-8-B91E81C,40522014,6283586,48729697973446,03/12/2018,1,74.18,-44.51,0.0,29.67,5.93,35.6,0,1
YQX,Product H,34 / C / FtO,4E-704-D68-7D8-0-039056F,25390669,4737903,81566164174823,10/02/2019,1,74.18,-44.51,0.0,29.67,5.93,35.6,0,1
AYN,Product H,34 / B / FtO,C3-14A-F22-80C-8-9696BDE,34589037,4737903,84751169918693,24/03/2019,1,74.17,-44.5,0.0,29.67,5.93,35.6,0,1
WHX,Product D,38 / C / FtO,E1-64D-1D6-299-2-142A3C0,16999640,4289702,87325897682287,09/04/2019,1,74.17,-44.5,0.0,29.67,5.93,35.6,0,1
QID,Product H,35 / B / FtO,ED-9C8-566-B8C-1-D2A70EB,93444068,5325226,82977246224383,15/01/2019,1,74.16,-44.49,0.0,29.67,5.94,35.61,0,1
WHX,Product A,33 / B / FtO,5F-43E-65F-156-0-0AD92FE,20095790,6359072,67779299833624,20/11/2018,2,215.02,-43.01,0.0,172.01,34.39,206.4,0,2
WHX,Product A,34 / B / FtO,9D-D1B-FA1-0A5-1-B6F673C,80366662,8409140,15920440062037,24/11/2018,2,215.0,-43.0,0.0,172.0,34.4,206.4,0,2
WHX,Product A,32 / B / FtO,81-763-504-1B8-8-023BFE1,12412505,4482210,64765241663669,23/11/2018,2,215.0,-43.0,0.0,172.0,34.4,206.4,0,2
